Rank,Lemma,Count,RelativeFrequency
1,ὁ,86837,0.089772
2,,,56045,0.057939
3,καί,42887,0.044337
4,δέ,32424,0.033520
5,.,26069,0.026950
6,·,15490,0.016014
7,αὐτός,15340,0.015858
8,εἰμί,14608,0.015102
9,οὗτος,10400,0.010752
10,ἐν,10253,0.010600
11,τε,10199,0.010544
12,ἐγώ,9892,0.010226
13,μέν,8876,0.009176
14,οὐ,8409,0.008693
15,εἰς,8221,0.008499
16,σύ,7376,0.007625
17,ἕ,6867,0.007099
18,γάρ,6717,0.006944
19,ὅς,6672,0.006898
20,ὡς,6388,0.006604
21,ἐπί,5624,0.005814
22,τις,5429,0.005612
23,πᾶς,4931,0.005098
24,λέγω,4807,0.004969
25,ἐκ,4682,0.004840
26,ἔχω,4276,0.004421
27,ἄν,4217,0.004360
28,μή,4185,0.004326
29,ἄλλος,4073,0.004211
30,πρός,3817,0.003946
31,πολύς,3582,0.003703
32,ἤ,3550,0.003670
33,δή,3487,0.003605
34,εἰ,3439,0.003555
35,ὅτι,3274,0.003385
36,;,2898,0.002996
37,ἀνήρ,2882,0.002979
38,γίγνομαι,2810,0.002905
39,κατά,2765,0.002858
40,θεός,2711,0.002803
41,περί,2683,0.002774
42,πόλις,2604,0.002692
43,ἀπό,2568,0.002655
44,ποιέω,2567,0.002654
45,φημί,2462,0.002545
46,ἀλλά,2446,0.002529
47,ναῦς,2312,0.002390
48,ὑπό,2187,0.002261
49,ἄλλο,2174,0.002247
50,νῦν,2159,0.002232
51,οὖν,2105,0.002176
52,μέγας,2071,0.002141
53,σφεῖς,2018,0.002086
54,ἐπεί,1927,0.001992
55,ἔρχομαι,1912,0.001977
56,διά,1897,0.001961
57,ἑαυτοῦ,1817,0.001878
58,μετά,1802,0.001863
59,γε,1798,0.001859
60,οὐδείς,1731,0.001790
61,ἄρα,1676,0.001733
62,ἐκεῖνος,1553,0.001605
63,ὅδε,1511,0.001562
64,εἶπον,1505,0.001556
65,τίς,1487,0.001537
66,λόγος,1449,0.001498
67,ἄνθρωπος,1439,0.001488
68,παρά,1436,0.001485
69,οὕτως,1383,0.001430
70,οὐδέ,1358,0.001404
71,Ἀθήναιος,1341,0.001386
72,ὅσος,1295,0.001339
73,τό,1289,0.001333
74,πρῶτος,1275,0.001318
75,εἷς,1263,0.001306
76,ἐάν,1254,0.001296
77,οὔτε,1252,0.001294
78,βασιλεύς,1241,0.001283
79,δίδωμι,1240,0.001282
80,δοκέω,1207,0.001248
81,πάρειμι,1159,0.001198
82,τοιοῦτος,1138,0.001176
83,Ἕλλην,1117,0.001155
84,ἵνα,1114,0.001152
85,ὁράω,1111,0.001149
86,ἕκαστος,1105,0.001142
87,φίλος,1101,0.001138
88,οἶδα,1094,0.001131
89,κακός,1091,0.001128
90,ἔτι,1083,0.001120
91,γυνή,1045,0.001080
92,χείρ,1035,0.001070
