Rank,Lemma,Count,RelativeFrequency
1,καί,72086,0.100587
2,δέ,47291,0.065988
3,ὁ,19486,0.027190
4,μέν,17642,0.024617
5,σύ,14663,0.020460
6,τε,13078,0.018249
7,γάρ,12749,0.017790
8,τις,10654,0.014866
9,λέγω,7959,0.011106
10,μή,7700,0.010744
11,γίγνομαι,7276,0.010153
12,πρός,7149,0.009975
13,ποιέω,6924,0.009662
14,περί,6678,0.009318
15,πολύς,6238,0.008704
16,αὐτός,5495,0.007668
17,πόλις,5436,0.007585
18,φημί,4565,0.006370
19,κατά,4540,0.006335
20,δή,4262,0.005947
21,παρά,4009,0.005594
22,μέγας,3666,0.005115
23,διά,3402,0.004747
24,θεός,3400,0.004744
25,λόγος,3133,0.004372
26,μετά,2959,0.004129
27,τίς,2944,0.004108
28,λαμβάνω,2828,0.003946
29,δίδωμι,2797,0.003903
30,νόμος,2761,0.003853
31,ἐν,2687,0.003749
32,ἐγώ,2543,0.003548
33,δοκέω,2534,0.003536
34,βούλομαι,2490,0.003474
35,γε,2470,0.003447
36,εἰμί,2420,0.003377
37,δίκαιος,2262,0.003156
38,πατήρ,2034,0.002838
39,πράσσω,1973,0.002753
40,κακός,1922,0.002682
41,καλός,1914,0.002671
42,μόνος,1853,0.002586
43,εἰς,1733,0.002418
44,μηδείς,1692,0.002361
45,χρόνος,1679,0.002343
46,πρότερος,1654,0.002308
47,δύναμαι,1606,0.002241
48,τοίνυν,1588,0.002216
49,οὐ,1578,0.002202
50,πόλεμος,1535,0.002142
51,γυνή,1526,0.002129
52,δέω,1514,0.002113
53,βασιλεύς,1509,0.002106
54,πείθω,1496,0.002087
55,φίλος,1479,0.002064
56,τότε,1451,0.002025
57,πάρειμι,1409,0.001966
58,φέρω,1404,0.001959
59,ὅς,1395,0.001947
60,οὗτος,1368,0.001909
61,γράφω,1352,0.001887
62,φαίνω,1326,0.001850
63,Λακεδαιμόνιος,1323,0.001846
64,νομίζω,1315,0.001835
65,τίθημι,1280,0.001786
66,ὅτι,1275,0.001779
67,καθίστημι,1254,0.001750
68,πλείων,1254,0.001750
69,κελεύω,1243,0.001734
70,μέλλω,1242,0.001733
71,πᾶς,1224,0.001708
72,καλέω,1180,0.001647
73,μάλιστα,1171,0.001634
74,κύριος,1144,0.001596
75,τυγχάνω,1135,0.001584
76,χείρ,1100,0.001535
77,Ζεύς,1097,0.001531
78,δεινός,1095,0.001528
79,δίκη,1079,0.001506
80,πάσχω,1055,0.001472
81,δύο,1016,0.001418
82,γιγνώσκω,1016,0.001418
83,δικαστής,984,0.001373
84,χρή,982,0.001370
85,πέρ,979,0.001366
86,μιν,974,0.001359
87,παρέχω,970,0.001354
88,σύμμαχος,970,0.001354
89,χώρα,941,0.001313
90,τρόπος,925,0.001291
91,φεύγω,909,0.001268
92,ἐκ,898,0.001253
93,Ἰησοῦς,897,0.001252
94,χράω,888,0.001239
95,γόξ,885,0.001235
96,ἐπί,876,0.001222
97,πέμπω,868,0.001211
98,δύναμις,859,0.001199
99,πάλιν,848,0.001183
100,θυμός,836,0.001167
101,Φίλιππος,828,0.001155
102,θάλασσα,806,0.001125
103,μηδέ,794,0.001108
104,πολέμιος,775,0.001081
105,μήτε,770,0.001074
106,γνώμη,769,0.001073
107,Πέρσης,769,0.001073
108,μήτηρ,766,0.001069
109,βουλεύω,761,0.001062
110,μήν,756,0.001055
