Rank,Lemma,WeightedScore,RawCount
1,καί,620.924047,72086
2,δέ,387.073597,47291
3,μέν,242.122962,17642
4,σύ,197.440492,14663
5,γάρ,153.961279,12749
6,τις,119.807848,10654
7,περί,101.755099,6678
8,ποιέω,93.534648,6924
9,γίγνομαι,89.332158,7276
10,μή,87.693393,7700
11,πρός,76.437878,7149
12,πολύς,71.016577,6238
13,λέγω,65.035703,7959
14,πόλις,58.726218,5436
15,παρά,55.137018,4009
16,τε,49.016918,13078
17,δίκαιος,47.060372,2262
18,λαμβάνω,45.978182,2828
19,νόμος,43.495474,2761
20,δικαστής,36.994341,984
21,μέγας,36.924359,3666
22,βούλομαι,36.218423,2490
23,διά,35.995439,3402
24,φημί,35.685860,4565
25,λόγος,34.966981,3133
26,πατήρ,33.917700,2034
27,πράσσω,32.825805,1973
28,δίδωμι,32.258918,2797
29,δοκέω,32.024693,2534
30,δίκη,31.705074,1079
31,γόξ,31.666475,885
32,τοίνυν,30.785150,1588
33,τίς,30.546785,2944
34,μόνος,30.434918,1853
35,κατά,27.693927,4540
36,κακός,27.518589,1922
37,μηδείς,27.398146,1692
38,νομίζω,23.558048,1315
39,καθίστημι,22.696138,1254
40,μάρτυς,22.557657,664
41,μετά,22.170988,2959
42,χρή,21.472007,982
43,δύναμαι,20.781200,1606
44,καίτοι,20.576318,676
45,πρότερος,20.471662,1654
46,χρόνος,19.934097,1679
47,πείθω,19.856333,1496
48,δέω,19.583474,1514
49,δεινός,19.419668,1095
50,γιγνώσκω,19.329674,1016
51,πλείων,18.467755,1254
52,γε,17.815187,2470
53,δή,17.263518,4262
54,κίνδυνος,16.594112,659
55,προσήκω,16.188071,744
56,πάσχω,15.999680,1055
57,παρέχω,15.997198,970
58,βοηθέω,15.401347,634
59,πάρειμι,15.400047,1409
60,τυγχάνω,15.318349,1135
61,πολίτης,15.208126,716
62,κελεύω,14.998029,1243
63,καλός,14.900854,1914
64,γράφω,14.664088,1352
65,τότε,14.465902,1451
66,μαρτυρέω,14.344511,535
67,φαίνω,14.133195,1326
68,μέλλω,12.975920,1242
69,φανερός,12.551350,532
70,φίλος,12.542546,1479
71,γνώμη,12.355085,769
72,τρόπος,12.180142,925
73,γυνή,12.075930,1526
74,κοινός,11.658967,716
75,πόλεμος,11.262219,1535
76,τελευτάω,11.188014,727
77,μήτηρ,10.880107,766
78,τιμωρέω,10.409405,302
79,μαρτυρία,10.381926,472
80,μήν,10.201878,756
81,τολμάω,10.164669,496
82,δύο,10.138332,1016
83,κατηγορέω,9.884842,545
84,χράω,9.424377,888
85,φεύγω,9.377934,909
86,θεός,9.346067,3400
87,βίος,9.274158,548
88,φέρω,9.147465,1404
89,τίθημι,8.920206,1280
90,Λακεδαιμόνιος,8.786153,1323
91,τάλαντον,8.769697,387
92,ψηφίζω,8.762754,341
93,σώζω,8.746231,596
94,φάσκω,8.707733,266
95,βουλή,8.657448,573
96,συμφορά,8.567613,412
97,μήτε,8.418279,770
98,κύριος,8.275894,1144
99,παραδίδωμι,8.130094,652
100,ζάω,8.109376,669
101,μάλιστα,8.099249,1171
102,βουλεύω,8.086333,761
103,δέομαι,7.959358,281
104,ψεύδω,7.806885,282
105,μικρός,7.796668,651
106,πάλιν,7.779989,848
107,μηδέ,7.727863,794
108,καταλιμπάνω,7.657662,388
109,μέρος,7.589976,531
110,τεκμήριον,7.583503,227
111,κομίζω,7.469463,437
112,πιστεύω,7.437175,568
113,δικάζω,7.436934,287
114,τριάκοντα,7.243742,377
115,πολέμιος,7.151335,775
116,χωρίον,7.049608,397
117,θαυμάζω,7.007353,368
118,Φίλιππος,6.996526,828
119,λαγχάνω,6.982012,277
120,χάρις,6.882114,530
121,θάνατος,6.806194,626
122,καλέω,6.661086,1180
123,διάκειμαι,6.660549,243
124,πολιτεία,6.568103,360
125,κινδυνεύω,6.562460,285
126,σωτηρία,6.535013,367
127,δύναμις,6.530703,859
128,παρασκευάζω,6.439180,527
129,χράομαι,6.435870,425
130,συμβαίνω,6.393308,581
131,συμφέρω,6.385399,554
132,ποτέ,6.367500,752
133,σκοπέω,6.317116,489
134,διατίθημι,6.300717,222
135,διαθήκη,6.282252,210
136,κρίνω,6.255463,605
137,πότερος,6.199574,325
138,κωλύω,6.136238,307
139,πειράω,6.133695,525
140,ψευδής,6.131649,263
141,γένος,6.031080,478
142,πώποτε,5.996542,251
143,τιμάω,5.970465,428
144,ζητέω,5.940465,453
145,σύμμαχος,5.860692,970
146,πυνθάνομαι,5.765954,633
147,παύω,5.734447,434
148,μιμνήσκω,5.670598,490
149,τύχη,5.601275,284
150,Μάρτυρες,5.598666,99
151,μετέχω,5.531977,280
152,καιρός,5.528606,525
153,θυγάτηρ,5.525692,568
154,πρόγονος,5.489307,354
155,κατήγορος,5.350522,155
156,κτάομαι,5.337368,245
157,πατρίς,5.248015,516
158,πολεμέω,5.241804,479
159,τίη,5.133547,305
160,δήπου,5.088128,281
161,πολλάκις,5.085604,310
162,καταψηφίζω,5.020812,76
163,πονηρός,4.994468,404
164,δικαστήριον,4.980378,311
165,μεί,4.970918,497
166,χαλεπός,4.936293,447
167,στρατηγός,4.936144,733
168,πιστός,4.891292,282
169,διδάσκω,4.873871,424
170,Καλλίας,4.853174,66
171,ζημία,4.840595,149
172,τιμωρία,4.795383,262
173,πρίν,4.759080,744
174,παραγίγνομαι,4.751184,233
175,χώρα,4.663636,941
176,μάχομαι,4.641722,568
177,θνήσκω,4.635979,435
178,προστάσσω,4.618010,303
179,βασιλεύς,4.602248,1509
180,σαφής,4.586953,333
181,συγγνώμη,4.484639,141
182,διαφθείρω,4.440983,514
183,λοιπός,4.352814,559
184,διαφέρω,4.313728,270
185,δραχμή,4.283430,173
186,καταλείπω,4.262580,230
187,σκέπτομαι,4.168753,205
188,κτέομαι,4.151537,198
189,ψήφισμα,4.137241,501
190,γό,4.121418,373
191,συμβόλαιος,4.110007,101
192,δόξα,4.075239,661
193,διαβάλλω,4.048541,220
194,διώκω,3.995509,358
195,Πλαταιεύς,3.983415,68
196,φρονέω,3.927007,456
197,διαπράσσω,3.867340,258
198,μέντοι,3.859797,540
199,κρατέω,3.742479,498
200,ταχύς,3.738245,506
201,δείκνυμι,3.728590,389
202,στρατεύω,3.697023,449
203,τύραννος,3.687064,222
204,τιμή,3.671466,397
205,δηλόω,3.643615,302
206,πρόφασις,3.604371,216
207,δημοκρατία,3.598647,199
208,συμβουλεύω,3.578332,280
209,δείδω,3.543146,340
210,νικάω,3.541612,529
211,καταλαμβάνω,3.474011,339
212,δοκιμάζω,3.453482,121
213,σφέτερος,3.418438,250
214,λανθάνω,3.391325,425
215,χρηστός,3.261449,235
216,κανέω,3.260546,210
217,φόνος,3.256438,207
218,κατέρχομαι,3.248377,115
219,Πειραιεύς,3.220217,176
220,δεσπότης,3.190623,156
221,πρόθυμος,3.181606,209
222,παραλαμβάνω,3.172795,331
223,βάρβαρος,3.150051,652
224,πέρ,3.149165,979
225,ξένος,3.145585,546
226,πονηρία,3.132766,148
227,συκοφαντέω,3.119283,96
228,μισέω,3.117036,228
229,τάσσω,3.111908,356
230,διότι,3.105278,131
231,δημόσιον,3.091934,66
232,κολάζω,3.090629,193
233,φύσις,3.025216,483
234,συνθήξ,3.019167,145
235,νόος,3.017561,398
236,πλέω,3.008010,520
237,Ζεύς,3.003577,1097
238,μανθάνω,2.994513,431
239,νέος,2.981797,434
240,βέλτιος,2.953110,89
241,πρό,2.952158,484
242,καταλύω,2.947159,253
243,βέλτιστος,2.929920,160
244,καταγιγνώσκω,2.905081,127
245,φοβέω,2.889142,381
246,μείς,2.886058,202
247,πρέσβυς,2.873167,245
248,ψυχή,2.841619,614
249,σφόδρα,2.836080,165
250,τρίτος,2.813185,345
251,πρόσειμι,2.759653,263
252,πάππος,2.742969,93
253,μηνύω,2.739909,81
254,πλήν,2.736245,456
255,προσέρχομαι,2.719962,251
256,κερδαίνω,2.714560,62
257,λίαν,2.690666,144
258,προσκαλέω,2.666258,58
259,τριήρης,2.650261,273
260,κλέπτω,2.650157,89
261,βάσανος,2.639395,79
262,δίς,2.632150,102
263,γραφή,2.628122,273
264,συνθήκη,2.601077,118
265,σός,2.598859,498
266,Παγκλέων,2.581728,8
267,προδίδωμι,2.580121,211
268,συγχωρέω,2.575366,168
269,κατηγορία,2.562189,143
270,φυλάσσω,2.526400,381
271,ζοή,2.525121,122
272,διαλύω,2.511860,186
273,στερέω,2.482422,87
274,παράδειγμα,2.476338,130
275,δέχομαι,2.459797,478
276,βλάπτω,2.452084,229
277,παραβαίνω,2.445034,159
278,προίημι,2.444458,232
279,λογίζομαι,2.442716,209
280,τεύχω,2.426720,212
281,παρακαλέω,2.414747,281
282,τέχνη,2.407535,207
283,μένω,2.390123,653
284,νή,2.387895,165
285,πέντε,2.373862,334
286,δέκα,2.370387,354
287,χωρίς,2.366983,214
